metier;personnalite
Monteur de charpentes métalliques;réaliste
Outilleur-ajusteur;réaliste
Plongeur de plongée sous-marine;réaliste
Pressier sur presse offset;réaliste
Réparateur d’outils électriques;réaliste
Scaphandrier;réaliste
Serrurier de bâtiment;réaliste
Soudeur-monteur;réaliste
Traiteur;réaliste
Vitrier en bâtiment;réaliste
Agent de conservation de la faune;réaliste
Agent de prévention des incendies de forêt;réaliste
Bûcheron;réaliste
Chaudronnier;réaliste
Chef mécanicien de navire;réaliste
Conducteur de machines-outils;réaliste
Contremaître forestier;réaliste
Contrôleur de la circulation aérienne;réaliste
Couvreur de toitures;réaliste
Débosseleur;réaliste
Dessinateur d’architecture;réaliste
Dessinateur d’installations électriques;réaliste
Dessinateur en conception assistée par ordinateur;réaliste
Dessinateur en génie civil;réaliste
Dessinateur en mécanique industrielle;réaliste
Electromécanicien de machines de bureau;réaliste
Electronicien de système d’alarme;réaliste
Estimateur des dommages de véhicules automobiles;réaliste
Fleuriste;réaliste
Garde forestier;réaliste
Horloger;réaliste
Ingénieur en génie maritime;réaliste
Ingénieur forestier;réaliste
Installeur d’antennes;réaliste
Installateur-réparateur de matériel de télécommunication;réaliste
Interprète de l’environnement naturel et biologique;réaliste
Machiniste (usinage);réaliste
Mécanicien d’aéronefs;réaliste
Mécanicien d’automobiles;réaliste
Mécanicien d’entretien de photocopieur;réaliste
Mécanicien de bateaux à moteur;réaliste
Mécanicien de chantier;réaliste
Mécanicien de climatiseurs commerciaux;réaliste
Mécanicien de machinerie légère;réaliste
Mécanicien de machinerie lourde de construction;réaliste
Mécanicien de      machines agricoles;réaliste
Mécanicien de moteurs diesels;réaliste
Mécanicien industriel;réaliste
Monteur de lignes électriques;réaliste
Ouvrier sylvicole;réaliste
Peintre d’automobiles;réaliste
Pépiniériste;réaliste
Planteur d’arbres;réaliste
Plombier;réaliste
Poseur de lignes;réaliste
Technicien d’entretien en télédiffusion;réaliste
Technicien en aménagement cynégétique et halieutique;réaliste
Technicien en cartographie;réaliste
Technicien en diffusion et en enregistrement;réaliste
Technicien en pâtes et papiers;réaliste
Technicien en plomberie et chauffage;réaliste
Technicien en réfrigération et mécanique;réaliste
Technicien en structures d’aéronefs;réaliste
Technicien en sylviculture;réaliste
Technologue en câblodistribution;réaliste
Technologue en équipements audiovisuels;réaliste
Technologue en exploitation forestière;réaliste
Tôlier;réaliste
Tuyauteur;réaliste
Agent de piste d’atterrissage;réaliste
Arboriculteur;réaliste
Assembleur de matériel électromécanique;réaliste
Assembleur de matériel électronique;réaliste
Assembleur de matériel informatique;réaliste
Assistant technique en pharmacie;réaliste
Carrossier d’usine;réaliste
Classeur de bois de construction;réaliste
Commis à la réception et à l’expédition;réaliste
Commis-vendeur de pièces d’équipement motorisé;réaliste
Conducteur de machines agricoles;réaliste
Electricien;réaliste
Electricien de centrale électrique;réaliste
Electricien de marine;réaliste
Electromécanicien de machines distributrices;réaliste
Electromécanicien de systèmes automatisés;réaliste
Finisseur de meubles;réaliste
Inspecteur en bâtiments;réaliste
Inspecteur en construction;réaliste
Installateur d’équipements d’automobiles;réaliste
Lamineur de fibre de verre;réaliste
Luthier;réaliste
Magasinier;réaliste
Manœuvre agricole;réaliste
Manœuvre en terrassement et en aménagement paysage;réaliste
Maréchal-ferrant;réaliste
Mécanicien d’ascenseur;réaliste
Mécanicien de machines à coudre;réaliste
Mécanicien de marine;réaliste
Mécanicien de véhicules récréatifs;réaliste
Mécanicien-monteur en aérospatiale;réaliste
Monteur de câbles et de circuits en aérospatiale;réaliste
Monteur de matériel électronique;réaliste
Monteur de meubles;réaliste
Monteur de portes et fenêtres;réaliste
Monteur de structures d’aéronefs;réaliste
Monteur-ébéniste;réaliste
Nettoyeur à sec;réaliste
Nettoyeur de tapis;réaliste
Ouvrier à la pose de gazon;réaliste
Ouvrier agricole de cultures maraîchères;réaliste
Ouvrier agricole spécialisé;réaliste
Ouvrier avicole;réaliste
Ouvrier d’érablière;réaliste
Ouvrier d’exploitation laitière;réaliste
Ouvrier de ferme d’élevage;réaliste
Ouvrier pépiniériste;réaliste
Palefrenier;réaliste
Poseur de revêtements souples;réaliste
Préposé à l’entretien des parcs;réaliste
Rembourreur artisan;réaliste
Rembourreur industriel;réaliste
Réparateur de caisses enregistreuses électroniques;réaliste
Restaurateur de meubles;réaliste
Serrurier;réaliste
Spécialiste de l’information de vol;réaliste
Technicien en aménagement du territoire;réaliste
Technicien en radiotélédiffusion;réaliste
Technologue en architecture;réaliste
Technologue en génie civil;réaliste
Technologue en protection de l’environnement;réaliste
Vitrier;réaliste
Artisan tisserand;réaliste
Maroquinier;réaliste
Denturologiste;réaliste
Technologue en orthèses et prothèses;réaliste
Agent de train;réaliste
Agent de services correctionnels;réaliste
Aide-chauffeur de camion;réaliste
Aide-déménageur;réaliste
Aide-livreur;réaliste
Boucher;réaliste
Capitaine de bateau de pêche;réaliste
Charcutier;réaliste
Chauffeur d’autobus;réaliste
Chauffeur de limousine;réaliste
Chauffeur de taxi;réaliste
Chauffeur de véhicules de déneigement;réaliste
Chef de train;réaliste
Concierge;réaliste
Forgeron;réaliste
Laveur de vitres;réaliste
Mécanicien de locomotives;réaliste
Monteur d’installations de protection contre les incendies;réaliste
Préparateur d’aliments;réaliste
Préposé à l’entretien général d’immeubles;réaliste
Préposé à l’entretien ménager;réaliste
Préposé à la restauration rapide;réaliste
Préposé au club de santé;réaliste
Serveur au comptoir (cafétéria);réaliste
Assistant technique de collecte de sang;réaliste
Commis au recouvrement;réaliste
Enquêteur au recouvrement;réaliste
Placier;réaliste
Portier;réaliste
Préposé à l’équipement de sport;réaliste
Préposé au lavage des voitures;réaliste
Préposé au terrain de golf;réaliste
Acériculteur;réaliste
Apiculteur;réaliste
Aviculteur(élevage de poules);réaliste
Commandant de navire;réaliste
Eleveur de chiens;réaliste
Exploitant agricole;réaliste
Exploitant de ferme laitière;réaliste
Gréeur;réaliste
Officier de garde côtière;réaliste
Pilote de navire;réaliste
Pomiculteur;réaliste
Producteur d’ovins (béliers, brebis, agneaux);réaliste
Producteur de bovins;réaliste
Producteur de fruits;réaliste
Producteur de gazon;réaliste
Producteur de légumes;réaliste
Producteur de tabac;réaliste
Réparateur de voies ferrées;réaliste
Aquiculteur (élevage de poissons);réaliste
Bagagiste;réaliste
Brigadier scolaire;réaliste
Chasseur d’hôtel;réaliste
Conducteur de voitures blindée;réaliste
Fantassin;réaliste
Gardien de sécurité;réaliste
Guide de chasse et pêche;réaliste
Inspecteur de la prévention des incendies;réaliste
Pêcheur;réaliste
Pompier;réaliste
Spécialise des communications navales;réaliste
Technicien d’armement;réaliste
Dresseur de chien;réaliste
Gardien de jardin zoologique;réaliste
Préposé aux soins des animaux;réaliste
Préposé de salon funéraire;réaliste
Affuteur d’outils de machines à bois;réaliste
Aide d’atelier d’usinage;réaliste
Aide-boucher;réaliste
Aide-boulanger;réaliste
Aide-menuisier d’atelier;réaliste
Aide-soudeur;réaliste
Arpenteur-géomètre;réaliste
Calorifugeur;réaliste
Charpentier-menuisier;réaliste
Chocolatier;réaliste
Conducteur de chariots élévateurs;réaliste
Conducteur de machines industrielles;réaliste
Déménageur;réaliste
Éboueur;réaliste
Emballeur;réaliste
Finisseur-retoucheur de meubles;réaliste
Fromager;réaliste
Géomaticien;réaliste
Machiniste de plateau;réaliste
Maître brasseur;réaliste
Manœuvre à l’entretien des travaux publics;réaliste
Manœuvre à la fabrication du plastique;réaliste
Manœuvre dans une cour à bois;réaliste
Manœuvre de scierie;réaliste
Manœuvre en industrie pharmaceutique;réaliste
Manœuvre en ferblanterie;réaliste
Manutentionnaire;réaliste
Opérateur d’usine de traitement des eaux;réaliste
Opérateur de scie principale;réaliste
Ouvrier d’entretien de machines à mouler le verre;réaliste
Ouvrier en pavage;réaliste
Peintre en bâtiment;réaliste
Préposé à la stérilisation;réaliste
Régleur-conducteur de machine à bois;réaliste
Réparateur-affûteur de scies;réaliste
Sableur au jet;réaliste
Scieur de planches;réaliste
Menuisier d’atelier de bois ouvré;réaliste
Aide-cuisinier;réaliste
Aide-traiteur;réaliste
Briqueteur-maçon;réaliste
Carreleur;réaliste
Cimentier-applicateur;réaliste
Couturier;réaliste
Dynamiteur;réaliste
Facteur;réaliste
Livreur de journaux;réaliste
Matelot;réaliste
Nettoyeur d’édifice à bureaux;réaliste
Plâtrier;réaliste
Poseur de systèmes intérieurs;réaliste
Préposé à l’entretien des chambres;réaliste
